concept_id,concept_name,patient_count
42536525,Allergic disorder of respiratory tract,56751
4224259,Allergic disorder of respiratory system,56751
4131007,Neoplasm of uterus,56686
254761,Cough,56643
4152156,Cardiovascular injury,56626
4028062,Infectious disease of abdomen,56374
4178680,Degenerative disorder of musculoskeletal system,56233
4179167,Finding of sensation of joint,56225
4243411,Benign neoplasm of gastrointestinal tract,56207
77074,Joint pain,56190
4280659,Injury of mouth,56164
260131,Disorder of bronchus,56018
4116777,Bronchial finding,56018
4027880,Disorder of colon,55411
4101219,Finding of colon,55411
4042138,Vital signs finding,54959
4123726,Impacted tooth,54932
37116489,Injury of intrathoracic organ,54751
4113639,Benign genital neoplasm,54489
4209224,Cyst,54451
4042178,Finding of small intestine,54336
4305027,Finding of ankle or foot,54255
4001716,Disorder of small intestine,54222
4247120,Gastrointestinal ulcer,53917
439777,Anemia,53733
4027883,Disorder of posterior segment of eye,53455
4088927,"Pregnancy, childbirth and puerperium finding",53428
4115105,Mass of respiratory structure,53285
201817,Benign neoplasm of female genital organ,52795
72618,Disorder of skeletal muscle,52684
4198828,Disorder of tonsil AND/OR adenoid,52673
45763613,Colonic lesion,52637
4209989,Disorder of vitreous body and/or retina,52395
133835,Eczema,52138
4023567,Finding of cervical spine,51835
80497,Disorder of cervical spine,51798
37018293,Inflammatory disorder of jaw region,51580
321483,Respiratory complication,51540
4201705,Sequela of disorder,51534
4223595,Atopic IgE-mediated allergic disorder,51284
257007,Allergic rhinitis,51284
4223759,IgE-mediated allergic disorder,51284
4027663,Peptic ulcer,51283
4090616,Disorder of soft tissue of upper limb,50609
75344,Intervertebral disc disorder,50286
4111018,Neoplasm of thorax,50123
194990,Inflammatory disease of liver,49940
4143250,Mass of colon,49588
192353,Disorder of gallbladder,49402
4092876,Gallbladder finding,49402
133298,Musculoskeletal disorder of the neck,49277
4176946,Inflammatory disorder of musculoskeletal system,49134
443441,Imaging finding,49085
4256761,Imaging result abnormal,49033
4162092,Retina finding,48809
378416,Retinal disorder,48809
4031814,Disorder of lipoprotein storage and metabolism,48730
432867,Hyperlipidemia,48730
4054510,Disorder of oropharynx,47768
4152163,Injury of eye region,47701
4223938,Dizziness,47630
4131598,Neoplasm of intestinal tract,47557
437530,Disorder of lipid metabolism,47486
442793,Complication due to diabetes mellitus,47350
444094,Finding related to pregnancy,47290
4115408,Pain of cardiovascular structure,47191
4033853,Disorder of skin appendage,47183
4093228,Disorder of soft tissue of lower limb,46697
4089897,Vascular degeneration,46268
433316,Dizziness and giddiness,45996
260427,Common cold,45952
4053826,Injury of integument,45791
4091366,Tonsil finding,45384
4046076,Disorder of tonsil (palatine tonsil),45384
442270,Disorder of duodenum,45267
4028241,Chronic disease of teeth AND/OR supporting structures,45242
4302836,Neoplasm of endocrine gland,45093
4087936,Ocular surface finding,45044
4311280,Injury of heart,44957
4130514,Neoplasm of large intestine,44734
4022933,Breast finding,44537
4185932,Ischemic heart disease,44399
1075340,Colorectal neoplasm,44391
133834,Atopic dermatitis,44379
441969,Radiology result abnormal,44375
4041437,Radiologic finding,44375
4308811,Neoplasm of soft tissue,44159
141608,Periodontitis,43976
4234533,Tonsillitis,43943
4083666,Inflamed tonsils,43943
4022230,Body temperature finding,43663
4047791,Abnormal body temperature,43663
4178904,Body temperature above reference range,43454
256451,Bronchitis,43441
378444,Hearing disorder,43311
4320030,Soft tissue infection,43291
4029964,Disorder of digit,43260
256440,Disorder of nasal sinus,43124
